index	last	lastpar	kind	paranum	varsize	t_varnum	
0	108	0	ints	0	5122	0	
1	0	0	notyp	0	0	0	
2	0	0	notyp	0	0	0	
3	36	0	notyp	0	20	0	
4	0	0	notyp	0	0	0	
5	44	0	notyp	0	3	0	
6	0	0	notyp	0	0	0	
7	52	0	notyp	0	6	22	
8	0	0	notyp	0	0	0	
9	0	0	notyp	0	0	0	
10	0	0	notyp	0	0	0	
11	57	0	notyp	0	1	4	
12	0	0	notyp	0	0	0	
13	61	0	notyp	0	2	10	
14	63	63	ints	1	0	0	
15	66	0	ints	0	2	4	
16	69	0	notyp	0	1	1	
17	0	0	notyp	0	0	1	
18	78	0	notyp	0	284	10	
19	0	0	notyp	0	0	0	
20	81	81	ints	1	0	5	
21	83	0	notyp	0	1	1	
22	86	86	ints	2	0	3	
23	90	89	ints	2	1	2	
24	93	93	ints	2	0	0	
25	96	0	notyp	0	2	3	
26	99	98	ints	1	1	3	
27	103	101	notyp	1	2	6	
28	105	0	notyp	0	1	0	
29	107	107	ints	1	0	0	
30	109	0	notyp	0	1	2	
