key	value-inReg	value-r_addr	value-stack_addr	
T0	0	-1	9	
T1	0	-1	10	
T10	0	-1	19	
T11	0	-1	20	
T12	0	-1	21	
T13	0	-1	22	
T14	0	-1	23	
T15	0	-1	24	
T16	0	-1	25	
T17	0	-1	26	
T18	0	-1	27	
T19	0	-1	28	
T2	0	-1	11	
T20	0	-1	29	
T21	0	-1	30	
T22	0	-1	4	
T23	0	-1	5	
T24	0	-1	6	
T25	0	-1	7	
T26	0	-1	5	
T27	0	-1	6	
T28	0	-1	7	
T29	0	-1	8	
T3	0	-1	12	
T30	0	-1	9	
T31	0	-1	10	
T32	0	-1	11	
T33	0	-1	12	
T34	0	-1	13	
T35	0	-1	14	
T36	0	-1	5	
T37	0	-1	6	
T38	0	-1	7	
T39	0	-1	8	
T4	0	-1	13	
T40	0	-1	4	
T41	0	-1	3	
T42	0	-1	287	
T43	0	-1	288	
T44	0	-1	289	
T45	0	-1	290	
T46	0	-1	291	
T47	0	-1	292	
T48	0	-1	293	
T49	0	-1	294	
T5	0	-1	14	
T50	0	-1	295	
T51	0	-1	296	
T52	0	-1	4	
T53	0	-1	5	
T54	0	-1	6	
T55	0	-1	7	
T56	0	-1	8	
T57	0	-1	4	
T58	0	-1	5	
T59	0	-1	6	
T6	0	-1	15	
T60	0	-1	7	
T61	0	-1	6	
T62	0	-1	7	
T63	0	-1	5	
T64	0	-1	6	
T65	0	-1	7	
T66	0	-1	5	
T67	0	-1	6	
T68	0	-1	7	
T69	0	-1	6	
T7	0	-1	16	
T70	0	-1	7	
T71	0	-1	8	
T72	0	-1	9	
T73	0	-1	10	
T74	0	-1	11	
T75	0	-1	4	
T76	0	-1	5	
T8	0	-1	17	
T9	0	-1	18	
